Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Hyundai,Elantra,SEL IVT (SULEV),2020,36561,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16999.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF1LH633017
Ford,F-150,XL SuperCrew 5.5' Box 4WD,2018,207015,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,14990.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E50JKF95369
Nissan,Sentra,SV CVT,2019,35656,Automatic,1.8L Inline-4 Gas,Gas,Sedan,15000.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5KY225853
Nissan,Altima,2.5 S,2015,148908,Automatic,2.5L Inline-4 Gas,Gas,Sedan,7998.0,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP0FC594059
Ford,F-150,XL Regular Cab 6.5' Box 4WD,2018,51865,Automatic,3.3L V-6 Gas,Gas,Pickup Truck,24195.0,https://www.truecar.com/used-cars-for-sale/listing/1FTMF1EB7JKE87266
Nissan,Versa,SV CVT,2020,65123,Automatic,1.6L Inline-4 Gas,Gas,Sedan,15800.0,https://www.truecar.com/used-cars-for-sale/listing/3N1CN8EV8LL883373
Toyota,Corolla,LE CVT,2020,53425,Automatic,1.8L Inline-4 Gas,Gas,Sedan,15995.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE9LP119871
Ford,F-150,XL SuperCrew 5.5' Box 4WD,2014,67563,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,17991.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1ET7EKG52563
Nissan,Sentra,SV CVT,2019,61467,Automatic,1.8L Inline-4 Gas,Gas,Sedan,12999.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP8KY431667
Dodge,Grand Caravan,SXT,2019,55219,Automatic,3.6L V-6 Gas,Gas,Minivan,16300.0,https://www.truecar.com/used-cars-for-sale/listing/2C4RDGCG8KR671728
Toyota,Corolla,LE CVT,2021,61090,Automatic,1.8L Inline-4 Gas,Gas,Sedan,16000.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAE4MP165242
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,66586,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,30883.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E59LFA26175
Toyota,Prius,Two,2010,141793,Automatic,1.8L Inline-4 Hybrid,Hybrid,Sedan,8941.0,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DU5A1272452
Nissan,Versa,SV CVT,2021,63173,Automatic,1.6L Inline-4 Gas,Gas,Sedan,15951.0,https://www.truecar.com/used-cars-for-sale/listing/3N1CN8EV4ML814567
Ford,Focus,SE Sedan,2018,36136,Automatic,1.0L Inline-3 Gas Turbocharged,Gas,Sedan,13901.0,https://www.truecar.com/used-cars-for-sale/listing/1FADP3FE0JL292675
Hyundai,Elantra,SEL 2.0L IVT,2020,59559,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15000.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF4LH580734
Ford,F-150,XLT SuperCrew 5.5' Box 2WD,2018,105445,Automatic,3.3L V-6 Gas,Gas,Pickup Truck,21503.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1CB0JKC56636
Hyundai,Elantra,SE 2.0L Sedan Automatic (alt),2017,157718,Automatic,2.0L Inline-4 Gas,Gas,Sedan,8103.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LFXHH019140
Ford,F-150,XLT SuperCrew 5.5' Box 2WD,2019,178312,Automatic,3.3L V-6 Gas,Gas,Pickup Truck,19715.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1CB5KKC41003
Hyundai,Elantra,SEL 2.0L IVT,2020,67685,Automatic,2.0L Inline-4 Gas,Gas,Sedan,14895.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF7LH537893
Kia,Optima,LX Automatic,2020,67085,Automatic,2.4L Inline-4 Gas,Gas,Sedan,15931.0,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L36LG442321
Chevrolet,Malibu,LT,2021,62178,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,18951.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST0MF055933
Ford,F-150,XL Regular Cab 6.5' Box 4WD,2016,44406,Automatic,3.5L V-6 Gas,Gas,Pickup Truck,19980.0,https://www.truecar.com/used-cars-for-sale/listing/1FTMF1E81GKD46531
Nissan,Altima,2.5 S FWD,2020,72638,Automatic,2.5L Inline-4 Gas,Gas,Sedan,18951.0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV5LC227158
